English,Marathi
part,भाग
history,इतिहास
only,फक्त
thought,विचार
help,मदत
request,विनंती
brother,भाऊ
let,चला
because,कारण
to put,ठेवणे
leash,लीश
city,शहर
each,प्रत्येक
should,पाहिजे
baby,बाळ
long time,बराच काळ
hours,तास
will,विल
while,असताना
meet again,पुन्हा भेटा
square,चौरस
speak,बोला
understood,समजले
were,होते
Warning,चेतावणी
here is,येथे आहे
could,करू शकले
give,द्या
their,त्यांचे
train,ट्रेन
place,ठिकाण
eyes,डोळे
way,मार्ग
listen,ऐका
hand,हात
first,पहिला
side,बाजू
power,शक्ती
old,जुन्या
morning,सकाळी
child,मूल
point,पॉईंट
came,आले
after,नंतर
come,या
in front of,समोर
towards,च्या दिशेने
request,विनंती
bedroom,बेडरूम
placed,ठेवले
beautiful,सुंदर
law,कायदा
would like to,आवडेल
finally,शेवटी
water,पाणी
Wait,प्रतीक्षा करा
new,नवीन
job,नोकरी
Stop,थांबवा
would say,म्हणायचे
account,खाते
given,दिले
far,खूप दूर
end,शेवट
sweetheart,प्रिये
rather,त्याऐवजी
girls,मुली
